movie_id,date,daily_box_office
1,2023-01-22,43695.94
1,2023-01-23,34077.09
1,2023-01-24,32426.05
1,2023-01-25,30956.57
1,2023-01-26,29723.03
1,2023-01-27,27437.02
1,2023-01-28,21044.71
1,2023-01-29,16084.92
1,2023-01-30,12115.99
1,2023-01-31,10174.45
1,2023-02-01,8475.54
1,2023-02-02,7251.28
1,2023-02-03,8301.28
1,2023-02-04,14284.52
1,2023-02-05,12020.22
1,2023-02-06,4015.89
1,2023-02-07,3173.81
1,2023-02-08,2665.83
1,2023-02-09,2335.18
1,2023-02-10,3243.93
1,2023-02-11,6946.35
1,2023-02-12,5054.05
1,2023-02-13,1680.95
1,2023-02-14,4717.1
1,2023-02-15,1392.12
1,2023-02-16,1219.37
1,2023-02-17,1474.24
1,2023-02-18,3471.5
1,2023-02-19,2452.57
1,2023-02-20,709.16
1,2023-02-21,665.32
1,2023-02-22,649.19
1,2023-02-23,630.34
1,2023-02-24,932.28
1,2023-02-25,2146.56
1,2023-02-26,1565.97
1,2023-02-27,458.16
1,2023-02-28,433.48
1,2023-03-01,388.96
1,2023-03-02,360.42
1,2023-03-03,547.79
1,2023-03-04,1328.45
1,2023-03-05,927.55
1,2023-03-06,256.4
1,2023-03-07,264.78
1,2023-03-08,520.86
1,2023-03-09,240.63
1,2023-03-10,247.85
1,2023-03-11,672.73
1,2023-03-12,515
1,2023-03-13,129.83
1,2023-03-14,124.87
1,2023-03-15,126.86
1,2023-03-16,126.59
1,2023-03-17,128.34
1,2023-03-18,386.31
1,2023-03-19,406.96
1,2023-03-20,83.16
1,2023-03-21,82.45
1,2023-03-22,73.71
1,2023-03-23,74.97
1,2023-03-24,43.75
1,2023-03-25,133.67
1,2023-03-26,122.35
1,2023-03-27,32.58
1,2023-03-28,31.82
1,2023-03-29,31.3
1,2023-03-30,31.72
1,2023-03-31,23.17
1,2023-04-01,36.49
1,2023-04-02,45.01
1,2023-04-03,10.58
1,2023-04-04,16.17
1,2023-04-05,57.63
1,2023-04-06,10.1
1,2023-04-07,9.77
1,2023-04-08,24.89
1,2023-04-09,25.07
1,2023-04-10,8.02
1,2023-04-11,7.62
1,2023-04-12,7.07
1,2023-04-13,6.87
1,2023-04-14,6.52
1,2023-04-15,48.13
1,2023-04-16,14.67
1,2023-04-17,3.47
1,2023-04-18,3.61
1,2023-04-19,3.41
1,2023-04-20,2.26
1,2023-04-21,3.43
1,2023-04-22,8.4
1,2023-04-23,4.07
1,2023-04-24,1.76
1,2023-04-25,2.73
1,2023-04-26,2.45
1,2023-04-27,2.97
1,2023-04-28,1.04
1,2023-04-29,1.81
1,2023-04-30,6.4
1,2023-05-01,7.94
1,2023-05-02,6.92
1,2023-05-03,3.92
1,2023-05-04,0.8
1,2023-05-05,0.34
1,2023-05-06,0.6
1,2023-05-07,1.44
1,2023-05-08,0.25
1,2023-05-09,0.21
1,2023-05-10,0.24
1,2023-05-11,0.31
1,2023-05-12,0.59
1,2023-05-13,11.22
1,2023-05-14,4.54
1,2023-05-15,0.51
1,2023-06-01,0
1,2023-06-30,0
1,2023-08-04,0
1,2023-08-10,0
1,2023-08-25,0.1
1,2023-10-09,0
1,2024-05-26,0
1,2024-06-01,0.85
1,2024-06-02,1.4
1,2024-06-03,0.01
1,2024-06-04,NaN
1,2024-06-05,0
1,2024-06-06,NaN
1,2024-06-07,NaN
1,2024-06-08,1.28
1,2024-06-09,1.2
1,2024-06-10,2.01
1,2024-06-11,0
1,2024-06-12,NaN
1,2024-06-13,0
1,2024-06-14,NaN
1,2024-06-15,0.14
1,2024-06-16,0.7
1,2024-06-17,0
1,2024-06-18,0
1,2024-06-19,NaN
1,2024-06-20,0
1,2024-06-21,0
1,2024-06-22,0.91
1,2024-06-23,0.96
1,2024-06-24,0.01
1,2024-06-25,0
1,2024-06-26,0
1,2024-06-27,0
1,2024-06-29,0
1,2024-07-06,0
1,2024-09-07,12.16
1,2024-09-08,7.16
1,2024-09-09,0.01
1,2024-09-10,0
1,2024-09-13,3.96
1,2024-09-14,0
1,2024-09-15,344.81
1,2024-09-16,296.77
1,2024-09-17,228.18
1,2024-09-18,57.55
1,2024-09-19,42.89
1,2024-09-20,34.04
1,2024-09-21,75.97
1,2024-09-22,56.07
1,2024-09-23,20.68
1,2024-09-24,18.4
1,2024-09-25,16.84
1,2024-09-26,18.07
1,2024-09-27,14.44
1,2024-09-28,17.35
1,2024-09-29,10.39
1,2024-09-30,6.67
1,2024-10-01,0.08
1,2024-10-02,1.17
1,2024-10-03,2.1
1,2024-10-04,1.78
1,2024-10-05,1.72
1,2024-10-06,1.75
1,2024-10-07,0.91
1,2024-10-08,0.38
1,2024-10-09,0.37
1,2024-10-10,0.55
1,2024-10-11,0.1
1,2024-10-12,6.32
1,2024-10-13,1.21
1,2024-10-14,0.68
1,2024-10-15,0.12
